id,asx_code,opening_price,higest_price,lowest_price,last_price,yesterday_closeprice,cumulative_volume,cumulative_value,best_bid_price,best_ask_price,number_of_trades,time_of_trade,security_status,best_bid_quantity,best_ask_quantity,number_of_buyers,number_of_sellers
2203,NTU,4.3,4.3,4.3,4.3,4.2,50,2,4.2,4.4,1,100720,12,1345983,347015,12,4
2204,NUC,28,28,28,28,28,1926,539,28,30,3,120139,4,13308,11407,2,2
2205,NUF,0,0,0,0,0,0,0,0,0,0,,0,0,9433,0,9
2206,NUH,0,0,0,0,0,294910,44237,14.5,15,11,100930,0,12187,161810,0,2
2207,NVA,0,0,0,0,0,0,0,0,0,0,,0,0,6500,0,1
2208,NVX,0,0,0,0,0,0,0,393,394,0,,0,9297,448,4,2
2209,NVXKOA,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0
2210,NWC,4.2,4.2,4,4.2,4.2,5122593,210265,3.9,4.3,50,161049,8,40666,1000000,2,1
2211,NWE,0,0,0,0,0,711563,23482,0,0,20,101108,0,6037707,0,46,0
2212,NWF,0,0,0,0,0,0,0,0,41.5,0,,0,0,3,0,0
2213,NWH,0,0,0,0,0,0,0,0,0,0,,0,10309,0,10,0
2214,NWL,0,0,1255,1255,0,6543,82702,1253,1256,133,101043,0,246,65,5,2
2215,NWM,4.7,4.7,4.7,4.7,4.6,82067,3857,4.6,4.7,6,161049,8,100000,52800,1,2
2216,NWS,0,0,0,0,0,0,0,0,0,0,,0,144,37,2,2
2217,NXG,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2218,NXL,0,0,0,0,0,0,0,0,0,0,,0,7522,0,9,0
2219,NXM,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2220,NXS,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2221,NXT,0,0,0,0,0,32880,350097,0,0,232,101109,0,109,15,1,2
2222,NXTUX7,25.5,25.5,25.5,25.5,0,200,5100,0,0,1,141041,12,0,0,0,0
2223,NYM,17,17,17,17,18,5930,1008,17,18.5,1,144402,8,44070,50000,1,1
2224,NYR,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2225,NZK,18.5,18.5,18.5,18.5,18,156,29,18,18.5,1,100933,12,49605,49844,2,1
2226,NZM,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2227,NZS,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2228,OAK,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2229,OAR,0.7,0.8,0.6,0.8,0.7,5997641,40971,0.7,0.8,28,150222,8,4390765,5054166,5,9
2230,OBL,0,0,0,0,0,8927,29367,0,0,64,,0,841,0,3,0
2231,OBLHA,10070,10070,10070,10070,10060,139,13997,10070,10120,1,122844,4,361,200,2,1
2232,OBM,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2233,OCC,0,0,0,0,0,0,0,34.5,0,0,,0,82000,0,5,0
2234,OCL,0,0,0,0,0,0,0,1500,1557,0,,0,1788,419,2,2
2235,ODA,0,0,0,0,0,0,0,0,0,0,,0,8247,0,0,0
2236,ODE,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2237,ODM,1.7,1.7,1.7,1.7,1.6,154223,2622,1.6,2.2,7,150246,8,555499,98193,3,2
2238,ODY,4.7,4.8,4.7,4.8,4.6,735388,35238,4.7,4.8,7,161005,4,50000,101337,1,1
2239,OEC,29.5,29.5,29.5,29.5,29,19798,5840,29.5,30,3,123943,8,4947,400,1,1
2240,OEL,1.5,1.6,1.5,1.6,1.5,376861,5680,1.4,1.6,8,155741,8,1662684,9152381,3,13
2241,OEX,0,0,0,0,0,0,0,0,0,0,,0,45843985,0,88,0
2242,OFX,0,0,0,0,0,0,0,0,0,0,,0,0,6945,0,4
2243,OGC,0,0,0,0,0,0,0,0,0,0,,0,3341,620,3,0
2244,OIL,13.5,14,13.5,13.5,13.5,151492,20451,13.5,14,3,131522,8,20787,99996,1,1
2245,OKR,26,26,24,24,25,68545,17297,23,26,11,154720,8,105217,5636,2,1
2246,OKU,8,8,7.7,7.7,8,1331537,105781,7.7,7.8,12,123923,8,6000,180000,1,1
2247,OLL,0,0,0,0,0,0,0,0,0,0,,0,0,141337,0,2
2248,OMH,0,0,0,0,0,0,0,0,0,0,,0,6534,0,3,0
2249,OML,0,0,0,0,0,0,0,0,148.5,0,,0,0,300,0,1
2250,OMX,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2251,ONE,0,0,0,0,0,0,0,0,0,0,,0,0,39890,0,1
2252,OOK,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2253,OOO,0,0,0,0,0,0,0,0,0,0,,0,109265,0,1,0
2254,OPH,275,277,273,273,275,81308,223222,273,277,35,155546,8,43426,2000,1,1
2255,OPN,21.5,21.5,21.5,21.5,22,25599,5504,20,21.5,3,105415,8,110000,25000,2,1
2256,OPT,0,0,0,130,0,21536,27925,130,131,22,101055,0,290,1119,2,0
2257,ORA,0,0,0,0,0,0,0,0,0,0,,0,0,5027,0,5
2258,ORG,0,0,0,679.5,0,57263,388080,0,0,196,101107,0,9670,39218,15,0
2259,ORGE97,20.5,20.5,20,20,25.5,250,5075,0,0,2,135131,12,0,0,0,0
2260,ORGG57,27.5,27.5,27.5,27.5,11,50,1375,0,0,1,115450,12,0,0,0,0
2261,ORGJOE,352,352,352,352,243,3500,12320,351,352,1,110217,4,1,1,1,1
2262,ORGL39,0,0,0,0,0,0,0,0,0,0,,6,0,0,0,0
2263,ORGT67,8,8,8,8,14,1897,15176,7,0,3,113540,12,500,0,1,0
2264,ORGZT7,19,19,19,19,0,50,950,0,0,1,113723,12,0,0,0,0
2265,ORI,0,0,0,0,0,46837,741570,1577,1578,430,101109,0,469,78,4,6
2266,ORN,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2267,ORR,0,0,0,0,0,0,0,0,58,0,,0,0,100000,0,0
2268,OSL,0,0,5.1,5.1,0,518671,26950,5.1,0,8,,0,515172,0,2,0
2269,OSM,20,20,20,20,20,183785,36757,20,21,7,155408,8,61975,3507,2,1
2270,OSX,17,17.5,16.5,17.5,17,72186,12317,16,18,5,152011,8,64000,73005,2,4
2271,OVN,0,0,0,0,0,0,0,0,0,0,,12,0,0,0,0
2272,OVT,11.5,11.5,11.5,11.5,12,22112,2543,11.5,12,3,115912,8,11776,4225,1,1
2273,OXT,6.5,6.6,6.5,6.6,6.9,62448,4111,6.6,6.8,5,130229,8,4983,10000,1,1
2274,OXX,2,2,2,2,1.9,50000,1000,2,3,1,142155,4,105000,200843,1,3
2275,OZF,0,0,0,0,0,0,0,0,2172,0,,0,0,0,0,0
2276,OZL,0,0,0,0,0,55809,1294434,0,0,492,101110,0,164,146,4,3
2277,OZLCY7,14,14,14,14,19,100,1400,0,0,1,113446,12,0,0,0,0
2278,OZLF39,179,179,179,179,73.5,100,17900,0,0,1,105603,12,0,0,0,0
2279,OZLF59,198,198,198,198,146,100,19800,0,0,1,113318,12,0,0,0,0
