id,asx_code,order_type,buy,price,quantity,orderid,orderdate
348,G6M,0,1,22,10386,6917A0C10029839D,"2022-05-25 06:51:45"
349,G6M,0,1,22,9090,691B710100032DBE,"2022-05-25 06:51:45"
350,G6M,0,1,22,20000,691B710100034A2E,"2022-05-25 06:51:45"
351,G6M,0,1,22,200000,691B7101002211A1,"2022-05-25 06:51:45"
352,G6M,0,1,22,3000,691B71010034E812,"2022-05-25 06:51:45"
353,G6M,0,1,22,50000,691D414100208A64,"2022-05-25 06:51:45"
354,G6M,0,1,21.5,10000,691367810003172B,"2022-05-25 06:51:45"
355,G6M,0,1,21.5,7534,6913678100109689,"2022-05-25 06:51:45"
356,G6M,0,1,21.5,88000,691D4141002BA14D,"2022-05-25 06:51:45"
357,G6M,0,1,21,26004,690DC781002D16B6,"2022-05-25 06:51:45"
358,G6M,0,1,21,5000,690DC781002D24B1,"2022-05-25 06:51:45"
359,G6M,0,1,21,10000,69119901000301F5,"2022-05-25 06:51:45"
360,G6M,0,1,21,9430,6911990100030275,"2022-05-25 06:51:45"
361,G6M,0,1,21,10000,6911990100030509,"2022-05-25 06:51:45"
362,G6M,0,1,21,4690,6911990100031CB1,"2022-05-25 06:51:45"
363,G6M,0,1,21,10000,69163781000A4B08,"2022-05-25 06:51:45"
364,G6M,0,1,21,1450,6917A0C10005D10D,"2022-05-25 06:51:45"
365,G6M,0,1,21,2381,691B71010004B734,"2022-05-25 06:51:45"
366,G6M,0,1,20.5,100,690DC78100293650,"2022-05-25 06:51:45"
367,G6M,0,1,20.5,50000,691199010013E9D3,"2022-05-25 06:51:45"
368,G6M,0,1,20,1950,690DC7810003034D,"2022-05-25 06:51:45"
369,G6M,0,1,20,2500,690DC781000308F6,"2022-05-25 06:51:45"
